103.1.70.66; 103.1.70.66; /beginner/droidsev3.pptx; 11/Oct/2014:06:56:20;  103.1.70.66;   5.2999,100.2605;   Bayan Lepas;   Pulau Pinang
108-219-129-150.lightspeed.oshkwi.sbcglobal.net; 108.219.129.150; /advanced/Calibrate/calibration.pptx; 11/Oct/2014:16:12:15;  108-219-129-150.lightspeed.oshkwi.sbcglobal.net;   44.5392,-88.0579;   Green Bay;   Wisconsin
108-219-129-150.lightspeed.oshkwi.sbcglobal.net; 108.219.129.150; /advanced/Calibrate/calibrate.ev3; 11/Oct/2014:16:13:07;  108-219-129-150.lightspeed.oshkwi.sbcglobal.net;   44.5392,-88.0579;   Green Bay;   Wisconsin
108-219-129-150.lightspeed.oshkwi.sbcglobal.net; 108.219.129.150; /advanced/LineFollower/linefollower.ev3; 11/Oct/2014:16:13:38;  108-219-129-150.lightspeed.oshkwi.sbcglobal.net;   44.5392,-88.0579;   Green Bay;   Wisconsin
108-219-129-150.lightspeed.oshkwi.sbcglobal.net; 108.219.129.150; /advanced/LineFollower/linefollowing.pptx; 11/Oct/2014:16:13:20;  108-219-129-150.lightspeed.oshkwi.sbcglobal.net;   44.5392,-88.0579;   Green Bay;   Wisconsin
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /intermediate/debug/debuggingtechniques.pptx; 11/Oct/2014:16:58:41; None; None; None; None
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /beginner/EV3robot.pdf; 12/Oct/2014:00:15:15;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /beginner/EV3robot.pdf; 12/Oct/2014:00:15:15;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /beginner/EV3robot.pdf; 12/Oct/2014:00:15:16;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /beginner/EV3robot.pdf; 12/Oct/2014:00:15:16;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /beginner/EV3robot.pdf; 12/Oct/2014:00:15:16;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
